PLAYER_ID,PLAYER_NAME,MIN,games_participation_%
1628983,Shai Gilgeous-Alexander,33.7,48.611111111111114
1629004,Svi Mykhailiuk,20.1,91.66666666666667
1630177,Theo Maledon,27.3,90.27777777777777
1628396,Tony Bradley,16.3,58.333333333333336
1629660,Ty Jerome,23.9,45.833333333333336
1629346,Alen Smailagic,5.6,20.833333333333332
203952,Andrew Wiggins,33.3,98.61111111111111
1627814,Damion Lee,18.9,79.16666666666667
203110,Draymond Green,31.5,87.5
1629672,Eric Paschall,17.4,55.55555555555556
1627780,Gary Payton II,4.0,13.88888888888889
1630164,James Wiseman,21.4,54.166666666666664
1628395,Jordan Bell,13.6,8.333333333333334
1629673,Jordan Poole,19.4,70.83333333333333
1629308,Juan Toscano-Anderson,20.9,73.61111111111111
1626162,Kelly Oubre Jr.,30.7,76.38888888888889
203145,Kent Bazemore,19.9,93.05555555555556
1626172,Kevon Looney,19.0,84.72222222222223
1627737,Marquese Chriss,13.4,2.7777777777777777
1628539,Mychal Mulder,12.8,83.33333333333333
1630185,Nico Mannion,12.1,41.666666666666664
201939,Stephen Curry,34.2,87.5
1627936,Alex Caruso,21.0,80.55555555555556
1628035,Alfonzo McKinnie,6.6,54.166666666666664
203083,Andre Drummond,27.0,63.888888888888886
203076,Anthony Davis,32.3,50.0
203463,Ben McLemore,17.1,73.61111111111111
203471,Dennis Schroder,32.1,84.72222222222223
1629719,Devontae Cacok,4.9,27.77777777777778
201162,Jared Dudley,6.7,16.666666666666668
203484,Kentavious Caldwell-Pope,28.4,93.05555555555556
1628961,Kostas Antetokounmpo,3.7,20.833333333333332
1628398,Kyle Kuzma,28.7,94.44444444444444
2544,LeBron James,33.4,62.5
201188,Marc Gasol,19.1,72.22222222222223
202693,Markieff Morris,19.7,84.72222222222223
1626149,Montrezl Harrell,22.9,95.83333333333333
1629659,Talen Horton-Tucker,20.1,90.27777777777777
202083,Wesley Matthews,19.5,80.55555555555556
203458,Alex Len,15.3,88.88888888888889
1630264,Anthony Gill,8.4,36.111111111111114
1628394,Anzejs Pasecniks,6.3,1.3888888888888888
203078,Bradley Beal,35.8,83.33333333333333
1630216,Cassius Winston,4.5,30.555555555555557
1628990,Chandler Hutchison,13.8,34.72222222222222
1629655,Daniel Gafford,14.7,75.0
